GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils,0,453,7,83,0,75,7,59,0,21
Apache Commons Lang,org.apache.commons.lang3,EnumUtils,0,392,0,28,0,67,0,36,0,22
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,25,1,1,2,10,1,2,0,2
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,0,69,0,4,0,11,0,5,0,3
Apache Commons Lang,org.apache.commons.lang3,Conversion,189,2534,65,365,33,427,56,233,1,43
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},4,68,1,1,1,18,1,4,0,4
Apache Commons Lang,org.apache.commons.lang3,ArchUtils,17,233,1,1,3,38,2,16,1,16
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,34,0,8,0,6,0,7,0,3,0
Apache Commons Lang,org.apache.commons.lang3,CharUtils,0,315,0,48,0,34,0,50,0,26
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils,37,456,8,84,13,94,9,48,1,10
Apache Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,0,130,0,18,0,30,0,14,0,5
Apache Commons Lang,org.apache.commons.lang3,DoubleRange,0,18,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3,ArrayFill,0,56,0,16,0,24,0,16,0,8
Apache Commons Lang,org.apache.commons.lang3,NotImplementedException,0,48,0,0,0,19,0,8,0,8
Apache Commons Lang,org.apache.commons.lang3,BooleanUtils,4,791,11,229,2,176,11,159,0,48
Apache Commons Lang,org.apache.commons.lang3,AppendableJoiner,12,187,4,12,4,34,4,17,0,13
Apache Commons Lang,org.apache.commons.lang3,Functions,20,206,1,3,4,40,2,42,1,41
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils,11,761,2,104,3,169,3,102,1,51
Apache Commons Lang,org.apache.commons.lang3,ClassLoaderUtils,7,41,1,5,2,8,2,8,1,6
Apache Commons Lang,org.apache.commons.lang3,RuntimeEnvironment,23,25,2,2,4,6,4,5,2,5
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,2,2,0,0,1,1,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,27,0,6,0,6,0,5,0,2,0
Apache Commons Lang,org.apache.commons.lang3,NumberRange,0,6,0,0,0,2,0,1,0,1
Apache Commons Lang,org.apache.commons.lang3,AppendableJoiner.Builder,0,36,0,0,0,11,0,6,0,6
Apache Commons Lang,org.apache.commons.lang3,RegExUtils,3,132,0,18,2,22,1,21,1,12
Apache Commons Lang,org.apache.commons.lang3,StringUtils,20,7003,21,1444,8,1685,21,970,0,251
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils,16,101,0,2,3,28,0,8,0,7
Apache Commons Lang,org.apache.commons.lang3,IntegerRange,0,18,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3,CharSet,2,284,1,27,1,54,1,23,0,10
Apache Commons Lang,org.apache.commons.lang3,RandomStringUtils,78,760,6,80,15,102,19,70,13,33
Apache Commons Lang,org.apache.commons.lang3,Range,7,435,4,72,0,90,4,61,0,27
Apache Commons Lang,org.apache.commons.lang3,RandomUtils,10,307,1,27,3,59,2,44,1,31
Apache Commons Lang,org.apache.commons.lang3,Streams,12,5,0,0,4,1,3,1,3,1
Apache Commons Lang,org.apache.commons.lang3,BitField,0,139,0,12,0,21,0,24,0,18
Apache Commons Lang,org.apache.commons.lang3,CharRange,2,240,2,46,1,43,2,37,0,15
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3,LongRange,0,18,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3,ClassUtils,36,1346,13,229,7,307,13,176,0,68
Apache Commons Lang,org.apache.commons.lang3,JavaVersion,8,390,5,37,3,76,5,37,0,10
Apache Commons Lang,org.apache.commons.lang3,CachedRandomBits,11,121,4,12,1,24,4,7,0,3
Apache Commons Lang,org.apache.commons.lang3,SystemProperties,10,650,0,16,4,204,2,206,2,198
